"SiteID","HYBAS_ID","log_CVc","log_CVe","log_Delta","log_Psi","log_omega","s_nat_rich_covar","s_inv_rel_abund","yrs_with_intro","s_inv_rich","s_spat_btw_c","b_spat_wc_mean_c","s_spat_btw","b_spat_wc_mean"
"S12619",7070648760,-0.857657435477535,-0.273852291892511,-0.0432192502944498,-0.250555269216552,-0.290030624074022,16,0,0,0,-0.00441537797516166,6.385381957362,0,71.2836363636364
"S12644",7070648760,-1.56697423771787,-0.520524940070888,0.110569602866889,-0.431150058308172,-0.725868842205701,18,0,0,0,-0.00242689027238824,6.385381957362,0.00198848770277342,71.2836363636364
"S12674",7070642870,-1.04315232485579,-0.421008387067151,-0.111568532658935,-0.179696838020061,-0.330878567109642,21,0,0,0,-0.00279654059473488,-33.0185025452322,0.00161883738042678,31.8797518610422
"S12675",7070642870,-1.31842062627953,-0.572439376370484,0.145006100929406,-0.321718237752271,-0.569269113086185,30.5,0.00533720463612114,3,1,-0.00406498027377058,-33.0185025452322,0.000350397701391079,31.8797518610422
"S12678",7070642870,-0.549161886726601,-0.375137074565354,0.168899604263042,-0.153069074364431,-0.189855342059858,17,0.00171821305841924,2,1,-0.00131611030635757,-33.0185025452322,0.00309926766880409,31.8797518610422
"S12682",7070642870,-1.18000607465947,-0.367582648655085,-0.0761292237546119,-0.274916474785543,-0.461377727464228,14,0,0,0,-0.00441537797516166,-33.0185025452322,0,31.8797518610422
"S12684",7070642870,-0.924733484147936,-0.39579832814351,-0.190482468003125,-0.223461450078117,-0.114991237923185,17,0,0,0,-0.00419462742328528,-33.0185025452322,0.00022075055187638,31.8797518610422
"S12686",7070642870,-0.296883465351729,-0.253080038371753,0.0429614329934415,-0.0327621838245689,-0.0540026761488493,16.5,0,0,0,-0.00441537797516166,-33.0185025452322,0,31.8797518610422
"S12735",5070070390,-0.112170166917383,0.149888074434121,0.0898095943125514,-0.26047287642781,-0.0913949592362447,5,0.589041095890411,9,4,-0.00441537797516166,-15.0295242475442,0,49.8687301587302
"S12736",5070070390,0.310832394471401,0.379303241693408,0.128887620267552,-0.414983402136727,0.217624934647168,4,0.471631205673759,10,6,-0.00441537797516166,-15.0295242475442,0,49.8687301587302
"S12737",5070070390,-0.469844343683887,0.060687386314037,0.0320473522735032,-0.314170892010062,-0.248408190261365,5,0.621160409556314,9,6,-0.00441537797516166,-15.0295242475442,0,49.8687301587302
"S12738",5070070390,-0.666048309537722,0.209959054113626,0.0478576146744635,-0.350989122712679,-0.572875855613133,9,0.596026490066225,9,6,0.00398798336937615,-15.0295242475442,0.00840336134453781,49.8687301587302
